"DisplayName","Publisher","DisplayVersion","InstallDate","UninstallString"
"NVIDIA FrameView SDK 1.2.7521.31103277","NVIDIA Corporation","1.2.7521.31103277","20220921","""C:\WINDOWS\SysWOW64\RunDll32.EXE"" ""C:\Program Files\NVIDIA Corporation\Installer2\InstallerCore\NVI2.DLL"",UninstallPackage FrameViewSdk"
"Microsoft ASP.NET Core 5.0.12 Shared Framework (x64)","Microsoft Corporation","5.0.12.21524","20211111","MsiExec.exe /X{B4AA5E13-84A5-364D-8F1D-9D6F38ACBA36}"
"Microsoft.NET.Sdk.MacCatalyst.Manifest-6.0.300","Microsoft Corporation","123.35.40751","20220522","MsiExec.exe /X{B7115969-5972-400A-BD7A-93EF7D50C879}"
"Microsoft Windows Desktop Targeting Pack - 6.0.20 (x64)","Microsoft Corporation","48.83.63194","20230713","MsiExec.exe /X{B7764782-B7F6-4866-A6DB-7D9B1894717D}"
"Microsoft Windows Desktop Targeting Pack - 5.0.0 (x64)","Microsoft Corporation","40.0.29420","20211217","MsiExec.exe /X{B7846BB6-4EDE-409B-9147-631286EF7FDD}"
"Python 3.11.3 Test Suite (64-bit)","Python Software Foundation","3.11.3150.0","20230523","MsiExec.exe /I{BA9ABB78-751C-4488-80A9-60E44290C060}"
"Microsoft .NET Toolset 5.0.209 (x64)","Microsoft Corporation","20.3.56102","20211111","MsiExec.exe /X{BCFB6900-61DB-4322-8E25-761935718350}"
"ASUS MB Peripheral Products","ASUSTeK Computer Inc.","1.0.33","20201116","MsiExec.exe /I{BFED9861-7D96-4528-89F1-B090ABBF11A7}"
"Microsoft ASP.NET Core 5.0.17 Shared Framework (x64)","Microsoft Corporation","5.0.17.22215","20220513","MsiExec.exe /X{C1FF10EF-6BCB-3B08-AE1A-0D237C9F9F30}"
"Python 3.11.3 Tcl/Tk Support (64-bit)","Python Software Foundation","3.11.3150.0","20230523","MsiExec.exe /I{C321A7FC-E479-4E2A-AA09-2698EFEA4CA3}"
"Microsoft ASP.NET Core 6.0.20 Shared Framework (x64)","Microsoft Corporation","6.0.20.23321","20230713","MsiExec.exe /X{C34CAF5C-AAF9-3D8C-895E-D23B398383BD}"
"AURA lighting effect add-on x64","ASUS","0.0.15","20210329","MsiExec.exe /I{C5A4A164-4428-4931-B728-96EEF0FA3C44}"
"Universal CRT Tools x64","Microsoft Corporation","10.1.19041.685","20230414","MsiExec.exe /I{CD06199B-41C1-AE6D-7567-984CC68792C3}"
"Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.61030","Microsoft Corporation","11.0.61030","20210819","MsiExec.exe /X{CF2BEA3C-26EA-32F8-AA9B-331F7E34BA97}"
"ASUS Aura SDK","ASUSTek COMPUTER INC.","3.04.05","20210330","MsiExec.exe /I{CF8E6E00-9C03-4440-81C0-21FACB921A6B}"
"Windows App Certification Kit Native Components","Microsoft Corporation","10.1.19041.685","20230414","MsiExec.exe /I{D2886D0B-F38D-EB07-2108-B6218761F8F9}"
"Python 3.11.3 Development Libraries (64-bit)","Python Software Foundation","3.11.3150.0","20230523","MsiExec.exe /I{D307D056-AF62-4F53-810E-052AAAF0EFB2}"
"Microsoft .NET AppHost Pack - 7.0.9 (x64)","Microsoft Corporation","56.39.63170","20230713","MsiExec.exe /X{D361E401-FA26-49BE-BA1D-BC543F18F70D}"
"Microsoft .NET Host FX Resolver - 7.0.9 (x64)","Microsoft Corporation","56.39.63170","20230713","MsiExec.exe /X{E0C694BD-B643-43FA-840F-DECA17E60895}"
"Microsoft.NET.Workload.Mono.Toolchain.net6.Manifest (x64)","Microsoft Corporation","56.3.63170","20230713","MsiExec.exe /X{E29E3556-6106-4850-8B62-201C1E42E05D}"
"Microsoft .NET AppHost Pack - 5.0.17 (x64_arm64)","Microsoft Corporation","40.68.31213","20220513","MsiExec.exe /X{E61152B0-06C3-4EA3-AE31-13BCB874406A}"
